Date,Close,High,Low,Open,Volume,Daily_Return,Tomorrow_Direction,MA5,MA20,MA_Signal,Volatility5,RSI14,Volume_Change,DayOfWeek,Target
2019-08-05,10862.599609375,10895.7998046875,10782.599609375,10895.7998046875,506600,-1.225295228271439,1,11008.669921875,11343.117529296875,0,0.7554515225784225,10.552192261834819,-7.453416149068326,0,1
2019-08-06,10948.25,11018.5498046875,10813.7998046875,10815.400390625,517900,0.7884888857643269,0,10981.23984375,11312.735009765625,0,0.9320105646734426,15.608218495977425,2.2305566521910736,1,0
2019-08-07,10855.5,10975.650390625,10835.900390625,10958.099609375,548500,-0.847167355513434,1,10928.73984375,11280.564990234376,0,0.9063188556074263,15.577051428073972,5.908476539872565,2,1
2019-08-08,11032.4501953125,11058.0498046875,10842.9501953125,10899.2001953125,482500,1.6300510829763803,1,10939.2298828125,11253.04248046875,0,1.169611969688136,32.029342293791345,-12.032816773017318,3,1
2019-08-09,11109.650390625,11181.4501953125,11062.7998046875,11087.900390625,538100,0.6997556657477588,0,10961.6900390625,11230.9,0,1.20090869953923,39.05215420730974,11.523316062176159,4,0
2019-08-13,10925.849609375,11145.900390625,10901.599609375,11139.400390625,624600,-1.654424529912324,1,10974.3400390625,11197.775,0,1.336711225212281,33.77900271701948,16.07507898160194,1,1
2019-08-14,11029.400390625,11078.150390625,10935.599609375,11003.25,511500,0.9477595331455646,1,10990.5701171875,11166.1150390625,0,1.3582487307340647,40.644359119431776,-18.107588856868396,2,1
2019-08-16,11047.7998046875,11068.650390625,10924.2998046875,11043.650390625,470900,0.16682152620135504,1,11029.030078125,11134.130029296875,0,1.2418865585144312,42.09200043233143,-7.937438905180838,4,1
2019-08-19,11053.900390625,11146.900390625,11037.849609375,11094.7998046875,369500,0.055219917498061655,0,11033.3201171875,11106.980029296876,0,1.018166114308144,40.90050409407699,-21.533234232321085,0,0
2019-08-20,11017.0,11076.2998046875,10985.2998046875,11063.900390625,444700,-0.33382235519596737,0,11014.7900390625,11086.867529296875,0,0.9544257360599813,42.87133860343195,20.351826792963458,1,0
2019-08-21,10918.7001953125,11034.2001953125,10906.650390625,11018.150390625,557900,-0.8922556475220111,0,11013.36015625,11065.492529296875,0,0.6775047745581255,43.067456059625215,25.455363166179445,2,0
2019-08-22,10741.349609375,10908.25,10718.2998046875,10905.2998046875,668200,-1.6242829527789215,1,10955.75,11036.00751953125,0,0.7407966296031067,36.019463788856164,19.770568202186766,3,1
2019-08-23,10829.349609375,10862.5498046875,10637.150390625,10699.599609375,667100,0.8192639025843995,1,10912.0599609375,11013.910009765625,0,0.9272644049254936,44.192588063985205,-0.1646213708470512,4,1
2019-08-26,11057.849609375,11070.2998046875,10756.5498046875,11000.2998046875,684100,2.1100066785376237,1,10912.8498046875,11004.194970703125,0,1.4720673214734148,52.00569800569801,2.5483435766751716,0,1
2019-08-27,11105.349609375,11141.75,11049.5,11106.5498046875,685600,0.42955910667956676,0,10930.5197265625,10995.2474609375,0,1.4663191115586907,58.54180182755853,0.21926618915362184,1,0
2019-08-28,11046.099609375,11129.650390625,10987.650390625,11101.2998046875,550000,-0.5335266523260329,0,10955.999609375,10988.092431640625,0,1.4091041926792403,53.50827928421271,-19.778296382730453,2,0
2019-08-29,10948.2998046875,11021.099609375,10922.400390625,10996.0498046875,649900,-0.8853786236410199,1,10997.3896484375,10981.23740234375,1,1.1857199503781362,53.315219931997994,18.16363636363636,3,1
